"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0629000","Garden Grove city, California","172331","100",
"1600000US0630000","Glendale city, California","187802","90",
"1600000US0632548","Hawthorne city, California","83629","33",
"1600000US0633000","Hayward city, California","158433","49",
"1600000US0633182","Hemet city, California","92908","31",
"1600000US0633434","Hesperia city, California","101844","37",
"1600000US0636000","Huntington Beach city, California","193171","79",
"1600000US0636448","Indio city, California","94283","39",
"1600000US0636546","Inglewood city, California","102765","42",
"1600000US0636770","Irvine city, California","318693","56",
"1600000US0637692","Jurupa Valley city, California","108158","35",
"1600000US0639486","Lake Elsinore city, California","73594","28",
"1600000US0639496","Lake Forest city, California","87164","32",
"1600000US0639892","Lakewood city, California","78488","42",
"1600000US0640130","Lancaster city, California","167426","39",
"1600000US0641992","Livermore city, California","84849","70",
"1600000US0642202","Lodi city, California","68639","30",
"1600000US0643000","Long Beach city, California","450917","59",
"1600000US0644000","Los Angeles city, California","3878718","69",
"1600000US0644574","Lynwood city, California","63587","41",
"1600000US0645022","Madera city, California","69097","23",
"1600000US0645484","Manteca city, California","94283","45",
"1600000US0646842","Menifee city, California","117045","38",
"1600000US0646898","Merced city, California","96082","41",
"1600000US0647766","Milpitas city, California","79748","27",
"1600000US0648256","Mission Viejo city, California","91598","33",
"1600000US0648354","Modesto city, California","220617","91",
"1600000US0649270","Moreno Valley city, California","213893","88",
"1600000US0649670","Mountain View city, California","87322","30",
"1600000US0650076","Murrieta city, California","112531","46",
"1600000US0650258","Napa city, California","76913","37",
"1600000US0651182","Newport Beach city, California","82956","56",
"1600000US0652526","Norwalk city, California","98211","68",
"1600000US0653000","Oakland city, California","443575","95",
"1600000US0653322","Oceanside city, California","170942","42",
"1600000US0653896","Ontario city, California","185289","43",
"1600000US0653980","Orange city, California","137957","72",
"1600000US0654652","Oxnard city, California","200637","83",
"1600000US0655156","Palmdale city, California","162526","48",
"1600000US0655282","Palo Alto city, California","67645","50",
"1600000US0656000","Pasadena city, California","137200","41",
"1600000US0656700","Perris city, California","83040","38",
"1600000US0657456","Pittsburg city, California","77125","36",
"1600000US0657792","Pleasanton city, California","75661","26",
"1600000US0658072","Pomona city, California","147966","38",
"1600000US0659444","Rancho Cordova city, California","84099","55",
"1600000US0659451","Rancho Cucamonga city, California","176677","36",
"1600000US0659920","Redding city, California","93509","35",
"1600000US0659962","Redlands city, California","74287","37",
"1600000US0660018","Redondo Beach city, California","68087","47",
"1600000US0660102","Redwood City city, California","82974","43",
"1600000US0660466","Rialto city, California","104912","35",
"1600000US0660620","Richmond city, California","115356","42",
"1600000US0662000","Riverside city, California","323792","125",
"1600000US0662364","Rocklin city, California","75119","50",
"1600000US0662938","Roseville city, California","163299","38",
"1600000US0664000","Sacramento city, California","535787","75",
"1600000US0664224","Salinas city, California","160779","35",
"1600000US0665000","San Bernardino city, California","224785","49",
"1600000US0665042","San Buenaventura (Ventura) city, California","109815","67",
"1600000US0666000","San Diego city, California","1404461","82",
"1600000US0667000","San Francisco city, California","827526","*****",
"1600000US0668000","San Jose city, California","997395","145",
"1600000US0668084","San Leandro city, California","86568","38",
"1600000US0668196","San Marcos city, California","96615","36",
"1600000US0668252","San Mateo city, California","103013","44",
"1600000US0668378","San Ramon city, California","85932","37",
"1600000US0669000","Santa Ana city, California","316188","66",
"1600000US0669070","Santa Barbara city, California","87291","30",
"1600000US0669084","Santa Clara city, California","133151","65",
"1600000US0669088","Santa Clarita city, California","229175","67",
"1600000US0669196","Santa Maria city, California","111347","30",
"1600000US0670000","Santa Monica city, California","90740","37",
"1600000US0670098","Santa Rosa city, California","177531","42",
"1600000US0672016","Simi Valley city, California","125773","36",
"1600000US0673080","South Gate city, California","90809","29",
"1600000US0675000","Stockton city, California","324980","57",
"1600000US0677000","Sunnyvale city, California","156776","77",
"1600000US0678120","Temecula city, California","112438","39",
"1600000US0678582","Thousand Oaks city, California","124243","62",
"1600000US0680000","Torrance city, California","139568","39",
"1600000US0680238","Tracy city, California","100136","36",
"1600000US0680644","Tulare city, California","72604","30",
"1600000US0680812","Turlock city, California","72879","41",
"1600000US0680854","Tustin city, California","78864","29",
"1600000US0681204","Union City city, California","66206","44",
"1600000US0681344","Upland city, California","79685","29",
"1600000US0681554","Vacaville city, California","103992","32",
"1600000US0681666","Vallejo city, California","123481","39",
"1600000US0682590","Victorville city, California","140706","66",
"1600000US0682954","Visalia city, California","146263","44",
"1600000US0682996","Vista city, California","99330","38",
"1600000US0683346","Walnut Creek city, California","70800","66",
"1600000US0684200","West Covina city, California","106923","41",
"1600000US0684550","Westminster city, California","89547","50",
"1600000US0685292","Whittier city, California","85594","34",
"1600000US0686832","Yorba Linda city, California","66487","31",
"1600000US0686972","Yuba City city, California","69150","22",
"1600000US0803455","Arvada city, Colorado","122529","1513",
"1600000US0804000","Aurora city, Colorado","402452","919",
"1600000US0807850","Boulder city, Colorado","106802","29",
"1600000US0809280","Broomfield city, Colorado","78323","*****",
"1600000US0812415","Castle Rock town, Colorado","83198","57",
"1600000US0812815","Centennial city, Colorado","108860","45",
"1600000US0816000","Colorado Springs city, Colorado","493540","57",
"1600000US0816495","Commerce City city, Colorado","70255","41",
"1600000US0820000","Denver city, Colorado","729019","*****",
"1600000US0827425","Fort Collins city, Colorado","170927","37",
"1600000US0831660","Grand Junction city, Colorado","70556","28",
"1600000US0832155","Greeley city, Colorado","114366","31",
"1600000US0836410","Highlands Ranch CDP, Colorado","99056","4920",
"1600000US0843000","Lakewood city, Colorado","156865","38",
"1600000US0845970","Longmont city, Colorado","100764","1604",
"1600000US0846465","Loveland city, Colorado","81103","27",
"1600000US0857630","Parker town, Colorado","65457","63",
"1600000US0862000","Pueblo city, Colorado","111156","38",
"1600000US0877290","Thornton city, Colorado","146689","36",
"1600000US0883835","Westminster city, Colorado","115301","36",
"1600000US0908000","Bridgeport city, Connecticut","151616","53",
"1600000US0918430","Danbury city, Connecticut","88683","39",
"1600000US0937000","Hartford city, Connecticut","122136","42",
"1600000US0950370","New Britain city, Connecticut","75861","43",
"1600000US0952000","New Haven city, Connecticut","137556","39",
"1600000US0955990","Norwalk city, Connecticut","93666","30",
"1600000US0973000","Stamford city, Connecticut","139112","76",
"1600000US0980000","Waterbury city, Connecticut","115902","32",
"1600000US1077580","Wilmington city, Delaware","73173","25",
"1600000US1150000","Washington city, District of Columbia","702250","*****",
"1600000US1200410","Alafaya CDP, Florida","98873","10899",
"1600000US1207300","Boca Raton city, Florida","102235","33",
"1600000US1207875","Boynton Beach city, Florida","83095","32",
